neighborhood_id
1
2
3
4
5
6
7
9
11
15
16
18
19
20
21
22
23
24
26
27
28
29
30
31
34
35
36
37
39
43
45
46
47
49
51
53
54
55
56
57
61
64
68
70
72
73
80
81
82
83
84
85
86
87
88
89
90
91
92
93
99
100
104
105
112
113
114
115
116
117
118
119
120
121
126
127
132
135
138
142
143
145
148
149
151
152
154
157
158
159
160
161
163
165
